token,tag
вызвал,O
в,O
Кремле,B-LOC
глубокую,O
признательность,O
так,O
по,O
мнению,O
Юмашева,B-PER
этот,O
эпизод,O
повлиял,O
на,O
выбор,O
Путина,B-PER
в,O
качестве,O
преемника,O
сентября,O
в,O
Бресте,B-LOC
Комбриг,B-PER
Семён,I-PER
Кривошеин,I-PER
вместе,O
с,O
генералом,O
Гейнцом,B-PER
Гудерианом,I-PER
принимали,O
совместный,O
парад,O
советских,O
и,O
германских,O
войск,O
а,O
сентября,O
СССР,B-LOC
и,O
Германия,B-LOC
подписали,O
договор,O
о,O
И,O
отмеряется,O
тогда,O
дверь,O
с,O
какой,O
стороны,O
им,O
угодно,O
и,O
к,O
ней,O
подходят,O
по,O
деревянному,O
мосту,O
мая,O
года,O
состоялся,O
первый,O
пуск,O
ракеты,O
носителя,O
Союз,O
ФГ,O
разработанной,O
ЦСКБ,B-ORG
Прогресс,I-ORG
на,O
базе,O
ракеты,O
носителя,O
Союз,O
У,O
с,O
применением,O
и,O
модернизированных,O
двигателей,O
с,O
новыми,O
форсуночными,O
Сталин,B-PER
уничтожил,O
внутреннюю,O
оппозицию,O
в,O
партии,O
Московские,O
процессы,O
провёл,O
массовую,O
чистку,O
в,O
НКВД,B-ORG
и,O
Красной,B-ORG
армии,I-ORG
Дело,O
Тухачевского,O
а,O
также,O
ряд,O
т,O
н,O
национальных,O
операций,O
Публично,O
сумма,O
сделки,O
не,O
раскрывалась,O
по,O
её,O
итогу,O
банк,O
получил,O
в,O
апреля,O
года,O
Владимир,B-PER
Путин,I-PER
поручил,O
кабинету,O
министров,O
выделить,O
средства,O
для,O
реализации,O
проекта,O
Развитие,O
космической,O
ядерной,O
энергетики,O
Производство,O
компонентов,O
и,O
Астрономикон,O
лаборатория,O
разрабатывающая,O
сверхмалые,O
космические,O
аппараты,O
формата,O
кубсат,O
а,O
также,O
и,O
пикоспутники,O
различного,O
назначения,O
и,O
Рег,O
ЕГРОКН,O
декабря,O
года,O
с,O
помощью,O
биопринтера,O
Орган,O
По,O
оценке,O
кандидата,O
военных,O
наук,O
профессора,O
Академии,B-ORG
военных,I-ORG
наук,I-ORG
генерал,O
полковника,O
Кривошеева,I-PER
общие,O
демографические,O
потери,O
СССР,B-LOC
включающие,O
погибшее,O
мирное,O
население,O
на,O
оккупированной,O
территории,O
и,O
повышенную,O
смертность,O
на,O
остальной,O
территории,O
СССР,B-LOC
от,O
невзгод,O
войны,O
млн,O
В,O
году,O
Владимир,B-PER
Путин,I-PER
подписал,O
аналогичный,O
федеральный,O
декабря,O
года,O
Сбербанк,B-ORG
и,O
Cetelem,B-ORG
подразделение,O
потребительского,O
кредитования,O
группы,O
BNP,B-ORG
Paribas,I-ORG
заключили,O
обязывающее,O
соглашение,O
о,O
создании,O
совместного,O
банка,O
на,O
рынке,O
кредитования,O
в,O
точках,O
продаж,O
в,O
Сохранилось,O
башен,O
из,O
В,O
году,O
Путин,B-PER
возглавлял,O
региональное,O
отделение,O
партии,O
Наш,B-ORG
дом,I-ORG
не,O
указан,O
дня,O
Денежная,O
реформа,O
также,O
вскрыла,O
огромный,O
пласт,O
коррупции,O
в,O
СССР,B-LOC
среди,O
ответственных,O
партийных,O
работников,O
В,O
структуре,O
древнерусских,O
городов,O
к,O
обнесённому,O
крепостной,O
стеной,O
кремлю,O
детинцу,O
в,O
большинстве,O
случаев,O
примыкали,O
более,O
крупных,O
по,O
площади,O
окольных,O
города,O
которые,O
также,O
были,O
акций,O
Sber,B-ORG
Vermögensverwaltungs,I-ORG
AG,I-ORG
in,I-ORG
Abwicklung,I-ORG
ранее,O
Sberbank,B-ORG
Europe,I-ORG
AG,I-ORG
были,O
проданы,O
австрийской,O
компании,O
контролируемой,O
Штефаном,B-PER
С,O
другой,O
стороны,O
победа,O
в,O
войне,O
способствовала,O
увеличению,O
влияния,O
СССР,B-LOC
в,O
мире,O
была,O
образована,O
мировая,O
социалистическая,O
система,O
включающая,O
в,O
себя,O
страны,O
социалистической,O
ориентации,O
СССР,B-LOC
стал,O
сверхдержавой,O
одним,O
из,O
основателей,O
ООН,B-ORG
постоянным,O
членом,O
Совета,B-ORG
Безопасности,I-ORG
с,O
правом,O
вето,O
Он,O
занимал,O
почти,O
шестую,O
часть,O
а,O
его,O
размеры,O
были,O
сопоставимы,O
с,O
размерами,O
Северной,B-LOC
Америки,I-LOC
декабря,O
года,O
выведен,O
на,O
орбиту,O
космический,O
аппарат,O
первый,O
из,O
разработанной,O
ИСС,B-ORG
Решетнёва,I-ORG
серии,O
спутников,O
глобальной,O
навигационной,O
системы,O
ГЛОНАСС,O
поколения,O
Глонасс,O
М,O
имеющих,O
улучшенные,O
характеристики,O
точности,O
и,O
увеличенный,O
срок,O
активного,O
августа,O
Путин,B-PER
был,O
утверждён,O
Госдумой,B-ORG
в,O
должности,O
председателя,O
Он,O
отметил,O
что,O
финансовая,O
организация,O
из,O
за,O
введённых,O
санкций,O
потеряла,O
практически,O
все,O
зарубежные,O
активы,O
кроме,O
тех,O
что,O
расположены,O
в,O
странах,O
СНГ,B-LOC
С,O
июня,O
года,O
после,O
избрания,O
Собчака,B-PER
на,O
пост,O
мэра,O
исполняющий,O
обязанности,O
председателя,O
а,O
с,O
июля,O
председатель,O
Комитета,B-ORG
по,I-ORG
внешним,I-ORG
связям,I-ORG
мэрии,I-ORG
Ленинграда,B-LOC
с,O
мая,O
года,O
Санкт,O
Сохранились,O
лишь,O
два,O
фрагмента,O
стен,O
и,O
кремлёвский,O
холм,O
Историки,O
и,O
политологи,O
считают,O
что,O
роль,O
Путина,B-PER
в,O
решении,O
проблемы,O
Кремля,B-LOC
со,O
Скуратовым,B-PER
стала,O
важной,O
демонстрацией,O
надёжности,O
Путина,B-PER
в,O
качестве,O
возможного,O
преемника,O
апреля,O
года,O
состоялся,O
успешный,O
запуск,O
ракеты,O
носителя,O
первый,O
в,O
истории,O
старт,O
с,O
космодрома,O
С,O
года,O
ракеты,O
носители,O
служат,O
для,O
запуска,O
космической,O
техники,O
сама,O
появились,O
в,O
результате,O
глубокой,O
модернизации,O
межконтинентальной,O
баллистической,O
ракеты,O
начало,O
этому,O
было,O
положено,O
октября,O
года,O
запуском,O
По,O
мнению,O
Путина,B-PER
этот,O
скандал,O
часть,O
депутатов,O
Ленсовета,B-PER
пыталась,O
использовать,O
для,O
воздействия,O
на,O
Собчака,B-LOC
чтобы,O
тот,O
его,O
Объект,O
БД,O
Викигида,O
Тульский,B-LOC
кремль,I-LOC
В,O
дереве,O
XII,O
век,O
В,O
камне,O
Сохранились,O
все,O
башен,O
кремля,B-LOC
из,O
которых,O
являются,O
проездными,O
Так,O
Московский,B-ORG
кремль,I-ORG
при,O
Иване,B-PER
Третьем,I-PER
возводится,O
заново,O
из,O
кирпича,O
Детинец,O
был,O
деревянным,O
и,O
до,O
наших,O
дней,O
не,O
сохранился,O
марта,O
года,O
была,O
образована,O
Карело,B-LOC
Финская,I-LOC
со,O
столицей,O
в,O
Петрозаводске,B-LOC
из,O
Карельской,B-LOC
АССР,I-LOC
и,O
перешедших,O
от,O
Финляндии,B-LOC
территорий,O
кроме,O
Рыбачьего,B-LOC
полуострова,I-LOC
перешедшего,O
в,O
состав,O
Мурманской,B-LOC
области,I-LOC
Разгонные,O
править,O
код,O
Бриз,O
семейство,O
разгонных,O
блоков,O
для,O
ракет,O
носителей,O
лёгкого,O
и,O
тяжёлого,O
класса,O
Бриз,O
М,O
используется,O
в,O
составе,O
ракет,O
носителей,O
Протон,O
М,O
Ангара,O
первый,O
запуск,O
состоялся,O
июля,O
года,O
Бриз,O
КМ,O
используется,O
в,O
составе,O
ракеты,O
носителя,O
Рокот,O
первый,O
запуск,O
состоялся,O
мая,O
года,O
В,O
году,O
США,B-LOC
опередили,O
Россию,B-LOC
по,O
количеству,O
космических,O
Рег,O
ЕГРОКН,O
СССР,B-LOC
был,O
образован,O
на,O
территории,O
которую,O
к,O
году,O
занимала,O
Российская,B-LOC
империя,I-LOC
без,O
Финляндии,B-LOC
части,O
Польского,B-LOC
царства,I-LOC
стран,O
Балтии,B-LOC
и,O
некоторых,O
других,O
территорий,O
Советская,O
власть,O
на,O
этой,O
территории,O
установилась,O
в,O
результате,O
Октябрьской,O
революции,O
года,O
и,O
последовавшей,O
за,O
ней,O
Гражданской,O
войны,O
Рыночная,O
капитализация,O
банка,O
по,O
состоянию,O
на,O
январь,O
года,O
трлн,O
Государственное,O
управление,O
космической,O
деятельностью,O
осуществляет,O
госкорпорация,O
Работники,O
партийных,O
советских,O
органов,O
а,O
также,O
сотрудники,O
и,O
руководители,O
республиканских,O
и,O
областных,O
управлений,O
в,O
отличие,O
от,O
простых,O
советских,O
граждан,O
изредка,O
несли,O
за,O
это,O
лишь,O
минимальное,O
наказание,O
К,O
компетенции,O
Союза,B-LOC
были,O
отнесены,O
вопросы,O
создания,O
системы,O
судопроизводства,O
уголовного,O
и,O
гражданского,O
законодательства,O
СССР,B-LOC
Кремль,B-LOC
признан,O
объектом,O
всемирного,O
наследия,O
ЮНЕСКО,B-ORG
октября,O
танковые,O
подразделения,O
российской,O
армии,O
со,O
стороны,O
Ставропольского,B-LOC
края,I-LOC
и,O
Дагестана,B-LOC
вошли,O
на,O
территорию,O
Наурского,B-LOC
и,O
Шелковского,B-LOC
районов,I-LOC
Пожалуйста,O
улучшите,O
и,O
дополните,O
раздел,O
Занимается,O
разработкой,O
двигателей,O
с,O
помощью,O
технологии,O
печати,O
ноября,O
года,O
с,O
помощью,O
ракеты,O
носителя,O
осуществлён,O
запуск,O
грузового,O
корабля,O
модуля,O
Прогресс,O
М,O
УМ,O
для,O
доставки,O
на,O
МКС,B-ORG
разработанного,O
и,O
изготовленного,O
РКК,B-ORG
Энергия,I-ORG
Королёва,I-ORG
узлового,I-ORG
модуля,I-ORG
Причал,I-ORG
предназначенного,O
для,O
наращивания,O
технических,O
и,O
эксплуатационных,O
возможностей,O
орбитальной,O
инфраструктуры,O
российского,O
сегмента,O
Советское,O
конституционное,O
строительство,O
было,O
начато,O
принятием,O
Основного,B-LOC
Закона,I-LOC
К,O
концу,O
года,O
у,O
Сбербанка,B-ORG
было,O
млн,O
активных,O
частных,O
клиентов,O
и,O
млн,O
активных,O
корпоративных,O
Путин,B-PER
предоставил,O
дискредитирующую,O
Скуратова,B-PER
видеозапись,O
сентября,O
года,O
осуществлен,O
запуск,O
разработанного,O
ВНИИЭМ,B-ORG
Иосифьяна,I-ORG
космического,O
аппарата,O
Метеор,O
М,O
положивший,O
начало,O
создания,O
комплекса,O
гидрометеорологического,O
и,O
океанографического,O
обеспечения,O
В,O
мае,O
года,O
вскоре,O
после,O
избрания,O
Собчака,B-PER
председателем,O
Ленинградского,B-ORG
городского,I-ORG
Совета,I-ORG
народных,I-ORG
депутатов,I-ORG
Путин,B-PER
стал,O
его,O
советником,O
Основана,O
как,O
укреплённый,O
загородный,O
дворец,O
государя,O
Василия,B-PER
III,I-PER
По,O
оценке,O
Вишневского,I-PER
без,O
избыточных,O
потерь,O
одного,O
лишь,O
сталинского,O
периода,O
население,O
на,O
территории,O
современной,O
России,B-LOC
могло,O
быть,O
на,O
с,O
лишним,O
миллионов,O
больше,O
в,O
Кремли,O
Русского,O
править,O
код,O
Башня,O
Ивановских,O
ворот,O
Тульского,B-LOC
кремля,I-LOC
Маринкина,O
и,O
Грановитая,B-ORG
башни,I-ORG
Коломенского,B-LOC
кремля,I-LOC
Термин,O
кремль,O
в,O
варианте,O
кремник,O
впервые,O
встречаются,O
в,O
летописях,O
года,O
в,O
рассказах,O
о,O
постройке,O
Тверского,B-LOC
кремля,I-LOC
где,O
была,O
возведена,O
деревянная,O
городская,O
крепость,O
которую,O
обмазали,O
глиной,O
и,O
побелили,O
Несколько,O
спорно,O
право,O
именоваться,O
кремлём,O
и,O
резиденции,O
Ивана,B-PER
Грозного,I-PER
в,O
Александровской,B-LOC
слободе,I-LOC
нередко,O
называемой,O
Александровским,O
кремлём,O
и,O
укреплённых,O
резиденций,O
архиереев,O
архиерейских,O
дворов,O
в,O
Тобольске,B-LOC
и,O
Ростове,B-LOC
В,O
годах,O
Путин,B-PER
работал,O
в,O
по,O
линии,O
внешней,O
разведки,O
КГБ,B-ORG
Среди,O
крупнейших,O
банков,O
мира,O
по,O
размеру,O
активов,O
находится,O
в,O
шестом,O
десятке,O
по,O
версии,O
Global,I-ORG
данные,O
на,O
конец,O
Четвёртые,O
Троицкие,B-LOC
в,O
восточной,O
стене,O
ворота,O
пробиты,O
в,O
Некоторые,O
кремлёвские,O
постройки,O
были,O
перестроены,O
в,O
XIX,O
веке,O
например,O
отдельные,O
башни,O
Московского,B-LOC
кремля,I-LOC
Обострилось,O
внутреннее,O
политическое,O
противостояние,O
Народное,O
хозяйство,O
и,O
основные,O
отрасли,O
промышленности,O
оставались,O
в,O
ведении,O
Союза,B-LOC
декабря,O
года,O
выведен,O
на,O
орбиту,O
космический,O
аппарат,O
Гонец,O
М,O
первый,O
спутник,O
модернизированной,O
версии,O
Гонец,O
М,O
являющийся,O
частью,O
многофункциональной,O
системы,O
персональной,O
спутниковой,O
связи,O
Гонец,B-ORG
разработанной,O
ИСС,B-ORG
Это,O
семейство,O
ракет,O
носителей,O
характеризуют,O
ступени,O
и,O
полезная,O
нагрузка,O
до,O
тонн,O
в,O
HGЯO,B-ORG
К,O
началу,O
мая,O
года,O
Ельцин,B-PER
в,O
целом,O
принял,O
решение,O
о,O
передаче,O
своей,O
власти,O
Путину,B-PER
В,O
годах,O
учился,O
на,O
международном,O
отделении,O
юридического,O
факультета,O
ЛГУ,B-ORG
где,O
вступил,O
в,O
не,O
указан,O
дней,O
Два,O
старших,O
брата,O
умерли,O
до,O
его,O
рождения,O
Альберт,B-PER
умер,O
до,O
начала,O
Великой,O
Отечественной,O
войны,O
и,O
Виктор,B-LOC
Основной,O
Закон,O
СССР,B-LOC
года,O
утвердил,O
создание,O
нового,O
государства,O
не,O
имеющего,O
в,O
истории,O
аналогов,O
по,O
мая,O
года,O
была,O
зарегистрирована,O
микрокредитная,O
компания,O
Выдающиеся,B-ORG
кредиты,I-ORG
июля,O
внесённая,O
в,O
реестр,O
ЦБ,B-ORG
РСФСР,B-LOC
было,O
определено,O
государством,O
с,O
автономными,O
территориями,O
а,O
СССР,B-LOC
союзным,O
государством,O
мая,O
года,O
банк,O
открыл,O
первое,O
отделение,O
в,O
Крыму,B-LOC
в,O
городе,O
Ялте,B-LOC
на,O
улице,O
Советская,B-LOC
Также,O
сохранились,O
многие,O
внутренние,O
постройки,O
кремля,B-LOC
в,O
HGЯO,B-ORG
Судьба,O
кремлей,O
в,O
XVIII,O
XIX,O
править,O
код,O
В,O
XVIII,O
XIX,O
веках,O
часть,O
кремлёвских,O
крепостей,O
лишившись,O
военного,O
значения,O
были,O
уничтожены,O
декабря,O
года,O
Совет,B-ORG
Республик,I-ORG
Верховного,B-ORG
Совета,I-ORG
СССР,B-LOC
принял,O
декларацию,O
о,O
прекращении,O
существования,O
декабря,O
года,O
состоялся,O
первый,O
пуск,O
лёгкой,O
ракеты,O
космического,O
назначения,O
с,O
новым,O
блоком,O
выведения,O
Волга,O
разработанной,O
ЦСКБ,B-ORG
Прогресс,I-ORG
на,O
базе,O
ракеты,O
носителя,O
без,O
использования,O
боковых,O
блоков,O
с,O
применением,O
на,O
центральном,O
блоке,O
двигателя,O
разработанного,O
СНТК,B-ORG
Кузнецова,I-ORG
для,O
советской,O
лунной,O
программы,O
и,O
рулевого,O
двигателя,O
разработанного,O
Бывший,O
вице,O
мэр,O
Петербурга,B-LOC
контр,O
адмирал,O
Вячеслав,B-PER
Щербаков,I-PER
упоминал,O
что,O
Путина,B-PER
приглашали,O
в,O
новую,O
администрацию,O
Владимира,B-PER
Яковлева,I-PER
однако,O
Путин,B-PER
по,O
свидетельству,O
Игоря,B-PER
Сечина,I-PER
счёл,O
это,O
предательством,O
и,O
наотрез,O
Выступление,O
на,O
торжественном,O
приёме,O
по,O
случаю,O
вступления,O
в,O
должность,O
президента,O
России,B-LOC
в,O
Государственном,B-LOC
Кремлёвском,I-LOC
дворце,I-LOC
В,O
апреле,O
года,O
на,O
основе,O
заключения,O
комиссии,O
во,O
главе,O
с,O
Путиным,B-PER
и,O
министром,O
внутренних,O
дел,O
Сергеем,B-PER
Степашиным,I-PER
был,O
отстранён,O
от,O
должности,O
генеральный,O
прокурор,O
Юрий,B-PER
расследовавший,O
деятельность,O
окружения,O
неформально,O
координировавший,O
службы,O
безопасности,O
в,O
интересах,O
политических,O
оппонентов,O
Ельцина,B-PER
и,O
критиковавший,O
самого,O
Ельцина,B-PER
С,O
по,O
годы,O
Сбербанк,B-ORG
участвовал,O
в,O
развитии,O
российской,O
платёжной,O
системы,O
Сберкарт,O
а,O
с,O
года,O
в,O
проекте,O
создания,O
универсальной,O
электронной,O
карты,O
являясь,O
одним,O
из,O
учредителей,O
оператора,O
проекта,O
проект,O
полностью,O
свёрнут,O
января,O
марта,O
года,O
состоялся,O
Всесоюзный,O
референдум,O
о,O
сохранении,O
СССР,B-LOC
на,O
котором,O
граждан,O
советских,O
республик,O
принявших,O
участие,O
в,O
референдуме,O
высказались,O
за,O
сохранение,O
Союза,B-LOC
как,O
обновлённой,O
федерации,O
равноправных,O
социалистических,O
суверенных,O
В,O
октябре,O
года,O
появилась,O
информация,O
о,O
приобретении,O
Сбером,B-ORG
образовательных,O
платформ,O
Нетология,B-PER
и,O
Фоксфорд,B-PER
Объект,O
БД,O
Викигида,O
Каменные,O
кремли,O
с,O
существенными,O
править,O
код,O
Изображение,O
Название,O
Годы,O
постройки,O
Информация,O
Коломенский,O
кремль,O
В,O
дереве,O
XII,O
век,O
В,O
камне,O
Сохранилось,O
из,O
башен,O
а,O
также,O
прясла,O
стен,O
между,O
сохранившимися,O
башнями,O
февраля,O
года,O
выведен,O
на,O
орбиту,O
космический,O
аппарат,O
первый,O
из,O
разработанной,O
ИСС,B-ORG
Решетнёва,I-ORG
серии,O
спутников,O
глобальной,O
навигационной,O
системы,O
ГЛОНАСС,O
поколения,O
Глонасс,O
имеющих,O
увеличенный,O
срок,O
активного,O
существования,O
уменьшенную,O
массу,O
и,O
полностью,O
выполненных,O
из,O
российских,O
С,O
другой,O
стороны,O
в,O
более,O
длительной,O
временной,O
перспективе,O
индустриализация,O
и,O
укрупнение,O
сельскохозяйственного,O
производства,O
способствовало,O
тому,O
что,O
валовой,O
продукт,O
сельского,O
хозяйства,O
в,O
Советском,B-LOC
Союзе,I-LOC
увеличился,O
к,O
на,O
по,O
сравнению,O
с,O
источник,O
в,O
HGЯO,B-ORG
Советским,O
войскам,O
удалось,O
отстоять,O
столицу,O
нанести,O
первое,O
крупное,O
поражение,O
немецкой,O
армии,O
и,O
провести,O
контрнаступление,O
отбросив,O
немецкие,O
войска,O
от,O
столицы,O
на,O
км,O
Содержимое,O
этой,O
статьи,O
нуждается,O
в,O
чистке,O
Правление,O
Путина,B-PER
характеризуется,O
усилением,O
центральной,O
и,O
президентской,O
власти,O
Объект,O
культурного,O
наследия,O
народов,O
РФ,B-LOC
федерального,O
значения,O
На,O
гребне,O
вала,O
в,O
древнейшие,O
времена,O
возводилась,O
деревянная,O
ограда,O
частокол,O
или,O
заполот,O
так,O
называлась,O
стена,O
из,O
брёвен,O
врытых,O
вертикально,O
на,O
некотором,O
расстоянии,O
друг,O
от,O
друга,O
и,O
соединённых,O
между,O
собой,O
горизонтально,O
уложенными,O
брёвнами,O
Голод,O
усугубил,O
и,O
без,O
того,O
тяжёлые,O
демографические,O
последствия,O
войны,O
за,O
счёт,O
высокой,O
детской,O
В,O
августе,O
года,O
СССР,B-LOC
вступил,O
в,O
войну,O
с,O
Японией,B-LOC
разгромил,O
японские,O
войска,O
в,O
Маньчжурии,B-LOC
после,O
чего,O
сентября,O
Япония,B-LOC
капитулировала,O
марта,O
года,O
ракетой,O
носителем,O
Протон,O
М,O
осуществлён,O
запуск,O
АМС,B-ORG
по,O
совместной,O
программе,O
госкорпорации,O
Роскосмос,B-ORG
и,O
ЕКА,B-ORG
цель,O
которой,O
поиск,O
жизни,O
на,O
В,O
году,O
Россия,B-LOC
осуществила,O
космических,O
запусков,O
Был,O
восстановлен,O
департамент,O
по,O
многоразовым,O
средствам,O
Ведущими,O
производителями,O
ракет,O
носителей,O
являются,O
ГКНПЦ,B-ORG
Хруничева,I-ORG
Москва,B-LOC
и,O
РКЦ,B-ORG
Прогресс,I-ORG
Самара,B-LOC
Акции,O
ПАО,B-ORG
Сбербанк,I-ORG
включены,O
в,O
котировальный,O
список,O
первого,O
уровня,O
Московской,O
Согласно,O
рассекреченным,O
данным,O
Госплана,B-ORG
СССР,B-LOC
потери,O
Советского,B-LOC
Союза,I-LOC
во,O
Второй,O
мировой,O
войне,O
составляют,O
миллион,O
тысяч,O
а,O
не,O
миллионов,O
как,O
считалось,O
Тема,O
дипломной,O
работы,O
Принцип,O
наиболее,O
благоприятствуемой,O
нации,O
научный,O
руководитель,O
Галенская,I-PER
кафедра,O
международного,O
В,O
январе,O
года,O
Путин,B-PER
завершил,O
командировку,O
в,O
ГДР,B-LOC
и,O
вернулся,O
в,O
не,O
указан,O
дней,O
Рег,O
ЕГРОКН,O
Его,O
руководителем,O
был,O
начальник,O
советской,O
разведгруппы,O
в,O
Восточной,B-LOC
Германии,I-LOC
представитель,O
КГБ,B-ORG
СССР,B-LOC
при,O
Министерстве,B-ORG
госбезопасности,I-ORG
ГДР,B-LOC
полковник,O
Лазарь,B-PER
Матвеев,I-PER
рассекречен,O
в,O
мае,O
года,O
в,O
возрасте,O
лет,O
августа,O
года,O
было,O
зафиксировано,O
падение,O
давления,O
воздуха,O
внутри,O
МКС,B-ORG
было,O
обнаружено,O
отверстие,O
в,O
обшивке,O
пилотируемого,O
корабля,O
Союз,O
установить,O
его,O
точное,O
происхождение,O
не,O
удалось,O
Объект,O
БД,O
Викигида,O
Зарайский,B-LOC
кремль,I-LOC
В,O
дереве,O
XII,O
век,O
В,O
камне,O
Сохранилось,O
все,O
башен,O
из,O
которых,O
с,O
воротами,O
Крепости,O
домонгольской,O
править,O
код,O
Новгородский,O
Кремль,O
Детинец,O
См,O
также,O
Крепостные,O
сооружения,O
Древней,B-LOC
Руси,I-LOC
Славяне,O
не,O
позднее,O
IX,O
века,O
стали,O
возводить,O
крепости,O
для,O
защиты,O
своих,O
земель,O
от,O
врагов,O
Помимо,O
комитета,O
по,O
внешним,O
связям,O
Путин,B-PER
руководил,O
комиссией,O
мэрии,O
по,O
оперативным,O
августа,O
года,O
когда,O
мэр,O
Ленинграда,B-PER
Собчак,I-PER
отказался,O
выполнять,O
распоряжения,O
ГКЧП,B-ORG
Путин,B-PER
к,O
тому,O
времени,O
работавший,O
с,O
Собчаком,B-PER
более,O
года,O
написал,O
рапорт,O
об,O
увольнении,O
из,O
КГБ,B-ORG
отставка,O
была,O
В,O
том,O
числе,O
космодром,O
Плесецк,B-LOC
ракета,O
носитель,O
среднего,O
класса,O
первый,O
пуск,O
состоялся,O
декабря,O
года,O
В,O
аэропорту,O
в,O
аэропорту,O
Довоенный,O
период,O
Основные,O
статьи,O
История,O
СССР,B-LOC
Внешняя,O
политика,O
СССР,B-LOC
и,O
Германско,B-LOC
советские,I-LOC
отношения,I-LOC
Основные,O
статьи,O
Коллективизация,O
в,O
СССР,B-LOC
Индустриализация,O
СССР,B-LOC
и,O
Пятилетки,B-LOC
СССР,I-LOC
Основные,O
статьи,O
Голод,O
на,O
Украине,B-LOC
Голод,B-PER
в,O
СССР,B-LOC
Сталинизм,B-LOC
и,O
Сталинские,B-ORG
репрессии,I-ORG
Ленин,I-ORG
и,O
Сталин,I-PER
первые,O
руководители,O
СССР,B-LOC
сентября,O
Во,O
внутренней,O
политике,O
большевики,O
начали,O
ряд,O
кардинальных,O
общественных,O
реформ,O
позволивших,O
резко,O
сократить,O
уровень,O
социального,O
неравенства,O
и,O
неграмотности,O
населения,O
обеспечить,O
широкий,O
доступ,O
лояльным,O
большевикам,O
слоям,O
населения,O
к,O
образованию,O
здравоохранению,O
социальной,O
защите,O
и,O
высшим,O
государственным,O
Окончание,O
интервенции,O
и,O
гражданской,O
войны,O
сделало,O
возможным,O
провести,O
военную,O
реформу,O
и,O
существенно,O
сократить,O
численность,O
Красной,B-LOC
Волга,O
блок,O
выведения,O
для,O
ракет,O
носителей,O
семейства,O
первый,O
запуск,O
состоялся,O
декабря,O
года,O
Формально,O
в,O
состав,O
СССР,B-LOC
первоначально,O
входили,O
только,O
союзные,O
однако,O
некоторые,O
другие,O
республики,O
уже,O
имели,O
договорные,O
отношения,O
между,O
поэтому,O
реальная,O
картина,O
межгосударственных,O
отношений,O
на,O
момент,O
образования,O
СССР,B-LOC
выглядела,O
следующим,O
Российская,B-ORG
СФСР,I-ORG
Башкирская,B-ORG
СР,I-ORG
Горская,I-ORG
АССР,I-ORG
Автономная,O
Дагестанская,B-LOC
ССР,I-LOC
Автономная,B-LOC
Киргизская,I-LOC
ССР,I-LOC
Автономная,B-LOC
Крымская,I-LOC
ССР,I-LOC
Автономная,B-LOC
Татарская,I-LOC
ССР,I-LOC
Туркестанская,B-LOC
ССР,I-LOC
Якутская,O
АССР,O
Закавказская,O
СФСР,O
Армянская,B-LOC
ССР,I-LOC
Азербайджанская,B-LOC
ССР,I-LOC
Нахичеванская,O
СР,O
Грузинская,B-LOC
ССР,I-LOC
ССР,O
Абхазия,B-LOC
Украинская,B-LOC
ССР,I-LOC
Белорусская,B-LOC
ССР,I-LOC
Плакат,O
Структура,O
Новым,O
учредителем,O
юрлиц,O
стало,O
созданное,O
в,O
марте,O
года,O
АО,B-ORG
Новые,I-ORG
возможности,I-ORG
уставный,O
капитал,O
компании,O
тысяч,O
рублей,O
её,O
учредителем,O
и,O
гендиректором,O
при,O
регистрации,O
значилась,O
работавшая,O
в,O
году,O
оператором,O
колл,O
центра,O
сервиса,O
по,O
регистрации,O
юрлиц,O
ВТБ,B-ORG
Регистратор,I-ORG
москвичка,O
Татьяна,B-PER
Портных,I-PER
Также,O
сохранились,O
многие,O
внутренние,O
постройки,O
кремля,B-LOC
Также,O
сохранились,O
многие,O
внутренние,O
постройки,O
кремля,B-LOC
Неукреплённые,O
части,O
города,O
назывались,O
посадами,O
Содержание,O
История,O
Государственная,O
программа,O
Космическая,O
деятельность,O
России,B-LOC
Космическая,O
промышленность,O
Предприятия,O
Частные,O
космические,O
компании,O
Инфраструктура,O
Космодромы,O
Организации,O
Техника,O
Ракеты,O
носители,O
Разгонные,O
блоки,O
Пилотируемые,O
космические,O
корабли,O
Грузовые,O
космические,O
корабли,O
Кислородно,O
водородная,O
тематика,O
Пилотируемые,O
космические,O
программы,O
Непилотируемые,O
космические,O
программы,O
Малые,O
космические,O
аппараты,O
для,O
фундаментальных,O
космических,O
исследований,O
Астрофизика,O
Международные,O
программы,O
Планетные,O
исследования,O
Исследование,O
Луны,B-LOC
Исследование,O
Марса,B-LOC
Исследование,O
Венеры,O
Исследование,O
Юпитера,B-LOC
Исследование,O
Меркурия,O
Исследование,O
Солнца,O
Биологические,O
исследования,O
Технологические,O
исследования,O
Статистика,O
запусков,O
Перспективы,O
Федеральная,O
космическая,O
программа,O
Проекты,O
В,O
культуре,O
Отражение,O
в,O
СМИ,B-ORG
Достижения,O
и,O
рекорды,O
См,O
также,O
Ссылки,O
Примечания,O
править,O
код,O
Модуль,O
МКС,B-ORG
Заря,B-ORG
декабря,O
года,O
Советский,B-LOC
Союз,I-LOC
прекратил,O
своё,O
существование,O
Первым,O
руководителем,O
Российского,B-ORG
космического,I-ORG
агентства,I-ORG
был,O
назначен,O
Юрий,B-PER
Коптев,I-PER
бывший,O
заместитель,O
министра,O
общего,O
машиностроения,O
